Designator,Comment,Footprint,LCSC Part #
Volume1,RotaryEncoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,HAND_SOLDER
AudioSpeed1,RotaryEncoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,HAND_SOLDER
power_button1,SW_Push,SW_SPST_EVQQ2,C2976606
Right1,SW_Push,SW_SPST_EVQQ2,C2976606
Down1,SW_Push,SW_SPST_EVQQ2,C2976606
SW10,SW_Push,SW_SPST_EVQQ2,C2976606
Left1,SW_Push,SW_SPST_EVQQ2,C2976606
SW8,SW_Push,SW_SPST_EVQQ2,C2976606
SW6,SW_Push,SW_SPST_EVQQ2,C2976606
Up1,SW_Push,SW_SPST_EVQQ2,C2976606
SW12,SW_Push,SW_SPST_EVQQ2,C2976606
SW11,SW_Push,SW_SPST_EVQQ2,C2976606
SW7,SW_Push,SW_SPST_EVQQ2,C2976606
SW9,SW_Push,SW_SPST_EVQQ2,C2976606
1kR1,R,R_0805_2012Metric,C727989
100kR1,R,R_0805_2012Metric,C161786
A1,Arduino_Nano_v3.x,Arduino_Nano,HAND_SOLDER
1000uf25V2,C_US,CP_Elec_10x12.5,C49256851
1000uf25V3,C_US,CP_Elec_10x12.5,C49256851
1000uf25V1,C_US,CP_Elec_10x12.5,C49256851
D8,1N4148,D_SOD-123,C917030
D9,1N4148,D_SOD-123,C917030
D10,1N4148,D_SOD-123,C917030
D5,1N4148,D_SOD-123,C917030
D6,1N4148,D_SOD-123,C917030
D12,1N4148,D_SOD-123,C917030
D11,1N4148,D_SOD-123,C917030
D3,1N4148,D_SOD-123,C917030
D2,1N4148,D_SOD-123,C917030
D1,1N4148,D_SOD-123,C917030
D4,1N4148,D_SOD-123,C917030
D7,1N4148,D_SOD-123,C917030
Q1,PMOS,TO-252-3_TabPin2,HAND_SOLDER
Fuse1,Fuse,FUSE_3560,HAND_SOLDER
J2,Conn_01x02_Pin,ScrewTerminal_Vertical_1935310,HAND_SOLDER
J4,Conn_01x02_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C160352
J1,Conn_01x02_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,C160352
4.7k_ohm2,R,R_0402_1005Metric,C105871
4.7k_ohm1,R,R_0402_1005Metric,C105871
J3,Barrel_Jack_Switch,BarrelJack_CUI_PJ-063AH_Horizontal,HAND_SOLDER
