Ref,Val,Package,PosX,PosY,Rot,Side
AudioSpeed1,RotaryEncoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,243.0,-59.35,0.0,top
Down1,SW_Push,SW_SPST_EVQQ2,143.25,-71.0,0.0,top
Left1,SW_Push,SW_SPST_EVQQ2,135.5,-63.25,0.0,top
Right1,SW_Push,SW_SPST_EVQQ2,150.7,-63.35,0.0,top
SW6,SW_Push,SW_SPST_EVQQ2,175.75,-57.1,0.0,top
SW7,SW_Push,SW_SPST_EVQQ2,189.25,-57.1,0.0,top
SW8,SW_Push,SW_SPST_EVQQ2,203.75,-57.1,0.0,top
SW9,SW_Push,SW_SPST_EVQQ2,167.5,-67.6,0.0,top
SW10,SW_Push,SW_SPST_EVQQ2,183.0,-67.6,0.0,top
SW11,SW_Push,SW_SPST_EVQQ2,197.75,-67.35,0.0,top
SW12,SW_Push,SW_SPST_EVQQ2,211.5,-67.6,0.0,top
Up1,SW_Push,SW_SPST_EVQQ2,143.25,-55.6,0.0,top
Volume1,RotaryEncoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,224.5,-59.35,0.0,top
power_button1,SW_Push,SW_SPST_EVQQ2,45.75,-61.25,0.0,top
1kR1,R,R_0805_2012Metric,129.5,-55.5,90.0,bottom
4.7k_ohm1,R,R_0402_1005Metric,80.25,-72.75,90.0,bottom
4.7k_ohm2,R,R_0402_1005Metric,76.5,-72.75,-90.0,bottom
100kR1,R,R_0805_2012Metric,134.5,-55.25,-90.0,bottom
1000uf25V1,C_US,CP_Elec_10x12.5,176.45,-62.6,180.0,bottom
1000uf25V2,C_US,CP_Elec_10x12.5,204.75,-62.6,0.0,bottom
1000uf25V3,C_US,CP_Elec_10x12.5,191.0,-62.85,180.0,bottom
A1,Arduino_Nano_v3.x,Arduino_Nano,70.88,-69.0,90.0,bottom
D1,1N4148,D_SOD-123,157.75,-55.5,90.0,bottom
D2,1N4148,D_SOD-123,158.25,-70.5,-90.0,bottom
D3,1N4148,D_SOD-123,152.5,-55.6,-90.0,bottom
D4,1N4148,D_SOD-123,158.25,-63.75,90.0,bottom
D5,1N4148,D_SOD-123,44.75,-73.75,180.0,bottom
D6,1N4148,D_SOD-123,167.75,-55.75,90.0,bottom
D7,1N4148,D_SOD-123,216.5,-56.6,90.0,bottom
D8,1N4148,D_SOD-123,213.0,-56.6,90.0,bottom
D9,1N4148,D_SOD-123,162.25,-62.25,-90.0,bottom
D10,1N4148,D_SOD-123,163.75,-55.25,-90.0,bottom
D11,1N4148,D_SOD-123,219.5,-60.25,-90.0,bottom
D12,1N4148,D_SOD-123,219.5,-67.25,90.0,bottom
Fuse1,Fuse,FUSE_3560,101.25,-63.25,180.0,bottom
J1,Conn_01x02_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,137.05,-66.6,180.0,bottom
J2,Conn_01x02_Pin,ScrewTerminal_Vertical_1935310,118.0,-67.950001,0.0,bottom
J3,Barrel_Jack_Switch,BarrelJack_CUI_PJ-063AH_Horizontal,82.0,-65.0,0.0,bottom
J4,Conn_01x02_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,147.15,-66.6,180.0,bottom
Q1,PMOS,TO-252-3_TabPin2,121.34,-56.4275,0.0,bottom
