Ref,Val,Package,PosX,PosY,Rot,Side
"AudioSpeed1","RotaryEncoder","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",243.000000,-59.350000,0.000000,top
"Down1","SW_Push","SW_SPST_EVQQ2",143.250000,-71.000000,0.000000,top
"Left1","SW_Push","SW_SPST_EVQQ2",135.500000,-63.250000,0.000000,top
"Right1","SW_Push","SW_SPST_EVQQ2",150.700000,-63.350000,0.000000,top
"SW6","SW_Push","SW_SPST_EVQQ2",175.750000,-57.100000,0.000000,top
"SW7","SW_Push","SW_SPST_EVQQ2",189.250000,-57.100000,0.000000,top
"SW8","SW_Push","SW_SPST_EVQQ2",203.750000,-57.100000,0.000000,top
"SW9","SW_Push","SW_SPST_EVQQ2",167.500000,-67.600000,0.000000,top
"SW10","SW_Push","SW_SPST_EVQQ2",183.000000,-67.600000,0.000000,top
"SW11","SW_Push","SW_SPST_EVQQ2",197.750000,-67.350000,0.000000,top
"SW12","SW_Push","SW_SPST_EVQQ2",211.500000,-67.600000,0.000000,top
"Up1","SW_Push","SW_SPST_EVQQ2",143.250000,-55.600000,0.000000,top
"Volume1","RotaryEncoder","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",224.500000,-59.350000,0.000000,top
"power_button1","SW_Push","SW_SPST_EVQQ2",45.750000,-61.250000,0.000000,top
