Designator,Mid X,Mid Y,Layer,Rotation
AudioSpeed1,243.0,-59.35,Top,0.0
Down1,143.25,-71.0,Top,0.0
Left1,135.5,-63.25,Top,0.0
Right1,150.7,-63.35,Top,0.0
SW6,175.75,-57.1,Top,0.0
SW7,189.25,-57.1,Top,0.0
SW8,203.75,-57.1,Top,0.0
SW9,167.5,-67.6,Top,0.0
SW10,183.0,-67.6,Top,0.0
SW11,197.75,-67.35,Top,0.0
SW12,211.5,-67.6,Top,0.0
Up1,143.25,-55.6,Top,0.0
Volume1,224.5,-59.35,Top,0.0
power_button1,45.75,-61.25,Top,0.0
1kR1,129.5,-55.5,Bottom,90.0
4.7k_ohm1,80.25,-72.75,Bottom,90.0
4.7k_ohm2,76.5,-72.75,Bottom,-90.0
100kR1,134.5,-55.25,Bottom,-90.0
1000uf25V1,176.45,-62.6,Bottom,180.0
1000uf25V2,204.75,-62.6,Bottom,0.0
1000uf25V3,191.0,-62.85,Bottom,180.0
A1,70.88,-69.0,Bottom,90.0
D1,157.75,-55.5,Bottom,90.0
D2,158.25,-70.5,Bottom,-90.0
D3,152.5,-55.6,Bottom,-90.0
D4,158.25,-63.75,Bottom,90.0
D5,44.75,-73.75,Bottom,180.0
D6,167.75,-55.75,Bottom,90.0
D7,216.5,-56.6,Bottom,90.0
D8,213.0,-56.6,Bottom,90.0
D9,162.25,-62.25,Bottom,-90.0
D10,163.75,-55.25,Bottom,-90.0
D11,219.5,-60.25,Bottom,-90.0
D12,219.5,-67.25,Bottom,90.0
Fuse1,101.25,-63.25,Bottom,180.0
J1,137.05,-66.6,Bottom,180.0
J2,118.0,-67.950001,Bottom,0.0
J3,82.0,-65.0,Bottom,0.0
J4,147.15,-66.6,Bottom,180.0
Q1,121.34,-56.4275,Bottom,0.0
