Designator,Value,Footprint,Quantity,LCSC Part #
"SW3,SW4,SW6,SW17,SW8,SW5,SW9,SW12,SW14,SW10,SW15,SW18,SW16,SW2,SW7,SW1,SW13,SW11",SW_Push,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,18,C160352
"uF7,uF18,uF8,uF5,uF11,uF16,uF4,uF3,uF12,uF6,uF15,uF14,uF17,uF13,uF2,uF1,uF9,uF10",C,C_0805_2012Metric,18,C53084456
"Driver8,Driver5,Driver6,Driver7,Driver2,Driver4,Driver1,Driver9,Driver3",TB6612FNG,SSOP-24_5.3x8.2mm_P0.65mm,9,C141517
"D1,D14,D13,D3,D7,D18,D9,D10,D17,D2,D16,D8,D15,D5,D11,D6,D12,D4",1N4148,D_SOD-123,18,C917030
"1000uf25V2,1000uf25V4,100uf25V1,1000uf25V3",C_Polarized,CP_Elec_10x12.5,4,C49256851
"Sol5,12V_supply1,Sol18,Sol9,Sol17,Sol15,Sol13,Sol14,Sol8,Sol2,Sol7,Sol1,Sol12,Sol3,Sol11,Sol6,Sol16,Sol4,Sol10",Conn_01x02_Pin,ScrewTerminal_Vertical_1935310,19,C6395113
"IO_1,IO_5,IO_4,IO_2,IO_3",74HC595,JEITA_SOIC-16_3.9x9.9mm_P1.27mm,5,C5947
5V,Conn_01x01_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,C160352
I2C,Conn_01x02_Pin,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,C160352
A1,Arduino_Nano_v3.x,Arduino_Nano,1,HAND_SOLDER
"DS22,DS10,DS8,DS27,DS9,DS36,DS26,DS12,DS5,DS15,DS19,DS30,DS7,DS1,DS35,DS24,DS3,DS17,DS6,DS34,DS13,DS28,DS25,DS14,DS31,DS2,DS4,DS18,DS16,DS32,DS29,DS21,DS20,DS33,DS23,DS11",D_Schottky,D_SMA,36,C83852
